Combination,Weight1,Weight2,10-Year Return
QQQ-SPY,0,10,67.14635326
QQQ-SPY,0,10,83.59450953
QQQ-SPY,0,10,86.92262592
QQQ-SPY,0,10,114.1115078
QQQ-SPY,0,10,94.23269143
QQQ-SPY,0,10,83.98379246
QQQ-SPY,0,10,96.75812122
QQQ-SPY,0,10,112.0455472
QQQ-SPY,0,10,117.6849846
QQQ-SPY,0,10,125.4683856
QQQ-SPY,0,10,111.8729536
QQQ-SPY,0,10,105.6009035
QQQ-SPY,0,10,100.7194882
QQQ-SPY,0,10,107.3540256
QQQ-SPY,0,10,97.07027157
QQQ-SPY,0,10,105.5485071
QQQ-SPY,0,10,104.1398629
QQQ-SPY,0,10,107.9194679
QQQ-SPY,0,10,103.091834
QQQ-SPY,0,10,92.13462331
QQQ-SPY,0,10,98.19022379
QQQ-SPY,0,10,102.5168328
QQQ-SPY,0,10,107.8574797
QQQ-SPY,0,10,109.1006132
QQQ-SPY,0,10,109.5406859
QQQ-SPY,0,10,113.6071511
QQQ-SPY,0,10,121.4973553
QQQ-SPY,0,10,116.2707383
QQQ-SPY,0,10,118.5481366
QQQ-SPY,0,10,114.9816716
QQQ-SPY,0,10,108.1662243
QQQ-SPY,0,10,106.6311796
QQQ-SPY,0,10,113.7760664
QQQ-SPY,0,10,114.3394214
QQQ-SPY,0,10,120.5797615
QQQ-SPY,0,10,116.440868
QQQ-SPY,0,10,111.7238743
QQQ-SPY,0,10,108.5279087
QQQ-SPY,0,10,97.6712619
QQQ-SPY,0,10,91.09378661
QQQ-SPY,0,10,112.3709378
QQQ-SPY,0,10,104.1732239
QQQ-SPY,0,10,101.0292728
QQQ-SPY,0,10,86.54107244
QQQ-SPY,0,10,85.32601721
QQQ-SPY,0,10,94.58082733
QQQ-SPY,0,10,92.91083601
QQQ-SPY,0,10,102.2856332
QQQ-SPY,0,10,102.460573
QQQ-SPY,0,10,108.9090247
QQQ-SPY,0,10,104.6923302
QQQ-SPY,0,10,99.32214782
QQQ-SPY,0,10,89.88204205
QQQ-SPY,0,10,93.03849978
QQQ-SPY,0,10,94.35291058
QQQ-SPY,0,10,94.89948988
QQQ-SPY,0,10,106.6105536
QQQ-SPY,0,10,104.4987912
QQQ-SPY,0,10,97.76841121
QQQ-SPY,0,10,93.97975164
QQQ-SPY,0,10,98.11294138
QQQ-SPY,0,10,108.7200767
QQQ-SPY,0,10,106.6767905
QQQ-SPY,0,10,102.9828796
QQQ-SPY,0,10,104.9850022
QQQ-SPY,0,10,119.7624295
QQQ-SPY,0,10,124.9608892
QQQ-SPY,0,10,152.9322135
QQQ-SPY,0,10,150.2012025
QQQ-SPY,0,10,145.5388565
QQQ-SPY,0,10,135.5795452
QQQ-SPY,0,10,137.7127835
QQQ-SPY,0,10,160.8834496
QQQ-SPY,0,10,173.0013962
QQQ-SPY,0,10,177.4283817
QQQ-SPY,0,10,208.0917928
QQQ-SPY,0,10,243.5514398
QQQ-SPY,0,10,276.1034099
QQQ-SPY,0,10,239.6605668
QQQ-SPY,0,10,299.6748634
